Pseudocode	Is-a-Prerequisite-of	Algorithm implementation
Data structures	Is-a-Prerequisite-of	Algorithm design
Doubly linked list	Is-a-Prerequisite-of	efficient searching
Dequeue	Is-a-Prerequisite-of	efficient searching
Data structures	Is-a-Prerequisite-of	algorithm efficiency
ordered	Is-a-Prerequisite-of	ordered set
unordered	Is-a-Prerequisite-of	unordered set
ordered set	Is-a-Prerequisite-of	set member ordered
unordered set	Is-a-Prerequisite-of	set member ordered
ordered	Is-a-Prerequisite-of	ordered set
list	Is-a-Prerequisite-of	sorted list
list sorted	Is-a-Prerequisite-of	merging the sorted lists back together
recursive algorithm	Is-a-Prerequisite-of	Appendix C
recursive algorithm	Is-a-Prerequisite-of	recursive calls
recursive algorithm	Is-a-Prerequisite-of	recursive calls
understand algorithm	Is-a-Prerequisite-of	design algorithm
custom type check	Is-a-Prerequisite-of	type T
custom type check	Is-a-Prerequisite-of	value
custom type check	Is-a-Prerequisite-of	type T
custom type check	Is-a-Prerequisite-of	value
custom type check	Is-a-Prerequisite-of	type T
custom type check	Is-a-Prerequisite-of	type T
custom type check	Is-a-Prerequisite-of	type T
custom type check	Is-a-Prerequisite-of	type T
sorted value	Is-a-Prerequisite-of	Inorder
sorted value	Is-a-Prerequisite-of	Ordered
sorted value	Is-a-Prerequisite-of	list
ascending order	Is-a-Prerequisite-of	sorted value
sorted value	Is-a-Prerequisite-of	Inorder
sorted value	Is-a-Prerequisite-of	Ordered
factorial	Is-a-Prerequisite-of	number
n	Is-a-Prerequisite-of	factorial
factorial	Is-a-Prerequisite-of	number
n	Is-a-Prerequisite-of	factorial
factorial	Is-a-Prerequisite-of	number
n	Is-a-Prerequisite-of	factorial
recursive algorithm	Is-a-Prerequisite-of	return statement
recursive algorithm	Is-a-Prerequisite-of	return statement
return statement	Is-a-Prerequisite-of	algorithm
algorithm	Is-a-Prerequisite-of	return type
Selecting correct sorting algorithm	Is-a-Prerequisite-of	Efficiency
Sorting algorithms	Is-a-Prerequisite-of	Algorithms
match	Is-a-Prerequisite-of	step
Match	Is-a-Prerequisite-of	Second Step
Binary Search Tree	Is-a-Prerequisite-of	Worst Case Scenario
TDD	Is-a-Prerequisite-of	writing tests
TDD	Is-a-Prerequisite-of	writing tests
TDD	Is-a-Prerequisite-of	writing tests
priority queue	Is-a-Prerequisite-of	heap
TDD	Is-a-Prerequisite-of	Testing
Priority Queue	Is-a-Prerequisite-of	Heap
Introduction	Is-a-Prerequisite-of	Chapter
Doubly linked list	Is-a-Prerequisite-of	Reverse list traversal
Singly linked list	Is-a-Prerequisite-of	Reverse list traversal
Doubly linked list	Is-a-Prerequisite-of	Reverse list traversal
Singly linked list	Is-a-Prerequisite-of	Reverse list traversal
Doubly linked list	Is-a-Prerequisite-of	Reverse list traversal
Singly linked list	Is-a-Prerequisite-of	Reverse list traversal
Doubly linked list	Is-a-Prerequisite-of	Reverse list traversal
Singly linked list	Is-a-Prerequisite-of	Reverse list traversal
Linked List	Is-a-Prerequisite-of	Pointer
Linked List	Is-a-Prerequisite-of	Head
Linked List	Is-a-Prerequisite-of	Tail
list	Is-a-Prerequisite-of	Pre
passed custom type check	Is-a-Prerequisite-of	value
passed custom type check	Is-a-Prerequisite-of	value
passed custom type check	Is-a-Prerequisite-of	value
passed custom type check	Is-a-Prerequisite-of	value
passed custom type check	Is-a-Prerequisite-of	type T
Postorder	Is-a-Prerequisite-of	Binary Search Tree Traversal
Postorder	Is-a-Prerequisite-of	Binary Search Tree traversal
Postorder	Is-a-Prerequisite-of	Binary Search Tree Traversal
Postorder traversal	Is-a-Prerequisite-of	Binary Search Tree
Postorder	Is-a-Prerequisite-of	Binary Search Tree Traversal
32 bit integer	Is-a-Prerequisite-of	radix sort
n	Is-a-Prerequisite-of	32 bit integer
tree balance	Is-a-Prerequisite-of	updating current height
post list sorted	Is-a-Prerequisite-of	efficient search
post list sorted	Is-a-Prerequisite-of	efficient search
post list sorted	Is-a-Prerequisite-of	efficient search
efficient search	Is-a-Prerequisite-of	user experience
list	Is-a-Prerequisite-of	sorted list
nodeToRemove	Is-a-Prerequisite-of	removal of a value
leaf node	Is-a-Prerequisite-of	removal of a value
nodeToRemove	Is-a-Prerequisite-of	removal of a leaf node
nodeToRemove	Is-a-Prerequisite-of	removal of a leaf node
nodeToRemove	Is-a-Prerequisite-of	removal of a leaf node
nodeToRemove	Is-a-Prerequisite-of	removal of a node
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	AVL Tree
Binary Search Tree	Is-a-Prerequisite-of	AVL Tree
Binary Search Tree	Is-a-Prerequisite-of	Searching
Binary Search Tree	Is-a-Prerequisite-of	Binary Search
Postorder	Is-a-Prerequisite-of	Right
Postorder	Is-a-Prerequisite-of	Right
Postorder	Is-a-Prerequisite-of	Right
Postorder	Is-a-Prerequisite-of	Right
Rotation	Is-a-Prerequisite-of	Algorithms
Rotation algorithm	Is-a-Prerequisite-of	Algorithms
Rotation algorithm	Is-a-Prerequisite-of	Algorithms
Rotation	Is-a-Prerequisite-of	Algorithms
Rotation algorithm	Is-a-Prerequisite-of	Algorithms
algorithm	Is-a-Prerequisite-of	data structure
prototype algorithm	Is-a-Prerequisite-of	algorithm design
recursive algorithm	Is-a-Prerequisite-of	algorithm trace
algorithm	Is-a-Prerequisite-of	data structure
pre-conditions	Is-a-Prerequisite-of	algorithm
algorithm	Is-a-Prerequisite-of	data structure
algorithm	Is-a-Prerequisite-of	data structure
algorithm	Is-a-Prerequisite-of	data structure
algorithm	Is-a-Prerequisite-of	parameters
run time complexity analysis	Is-a-Prerequisite-of	oh notation extensively
Big O notation	Is-a-Prerequisite-of	Runtime complexity analysis
Oh notation extensively	Is-a-Prerequisite-of	Algorithm analysis
selecting correct sorting algorithm	Is-a-Prerequisite-of	efficiency
deletion algorithm	Is-a-Prerequisite-of	insertion algorithm
deletion algorithm	Is-a-Prerequisite-of	insertion algorithm
Sorting algorithm	Is-a-Prerequisite-of	Demonstrating sorting
Sorting algorithm	Is-a-Prerequisite-of	demonstration
Sorting algorithm	Is-a-Prerequisite-of	Efficiency
Binary Search Tree	Is-a-Prerequisite-of	AVL tree
Binary Search Tree	Is-a-Prerequisite-of	AVL tree
Binary Search Tree	Is-a-Prerequisite-of	AVL tree
Merge sort	Is-a-Prerequisite-of	Sorting algorithm
Quick sort	Is-a-Prerequisite-of	Sorting algorithm
Insertion sort	Is-a-Prerequisite-of	Sorting algorithm
Radix sort	Is-a-Prerequisite-of	Sorting algorithm
Algorithm design	Is-a-Prerequisite-of	Algorithm
Merge sort	Is-a-Prerequisite-of	Sorting algorithm
Quick sort	Is-a-Prerequisite-of	Sorting algorithm
Insertion sort	Is-a-Prerequisite-of	Sorting algorithm
Radix sort	Is-a-Prerequisite-of	Sorting algorithm
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Merge sort	Is-a-Prerequisite-of	sorting algorithm
Quick sort	Is-a-Prerequisite-of	sorting algorithm
Insertion sort	Is-a-Prerequisite-of	sorting algorithm
Radix sort	Is-a-Prerequisite-of	sorting algorithm
recursive algorithm	Is-a-Prerequisite-of	algorithm
Merge sort	Is-a-Prerequisite-of	sorting algorithm
Quick sort	Is-a-Prerequisite-of	sorting algorithm
Insertion sort	Is-a-Prerequisite-of	sorting algorithm
Radix sort	Is-a-Prerequisite-of	sorting algorithm
recursive algorithm	Is-a-Prerequisite-of	algorithm
Probability search	Is-a-Prerequisite-of	searching algorithm
String	Is-a-Prerequisite-of	String operations
Palindrome	Is-a-Prerequisite-of	String
value	Is-a-Prerequisite-of	InsertNode
value	Is-a-Prerequisite-of	Remove
value	Is-a-Prerequisite-of	Contains
